year,is_challengeABS_overturned,original_isStrike_ump,sz_challenge_prob,sz_challenge_prob_gain,sz_challenge_prob_lost,chal_gained,chal_lost,player_at_bat,edge_dist_calc,batter_name,bat_side,bat_team_id,fld_team_id,is_strike3_removed,is_ball4_added,game_pk,play_id,game_date,pitcher,pitcher_name,fielder_2,catcher_name,challenging_player_id,pre_ball_count,pre_strike_count,event_inning,outs,bat_score,fld_score,strikeZoneTop,strikeZoneBottom,widthinches,plateX,plateZ,plate_X,plate_Z,is_challengeABS_reasonable_attempt,sz_challenge_runs,sz_challenge_overturned_runs,sz_challenge_lost_runs,id,player_team,opp_team,name,is_strikeout_overturn,is_walk_overturn,is_strikeout_overturn_against,is_strikeout_or_walk_overturn,is_walk_overturn_against,is_strikeout_or_walk_overturn_against,batter_name_flipped,catcher_name_flipped,pitcher_name_flipped,level,levelCode,player_team_abbr,opp_team_abbr,player_parent_team,opp_parent_team,bat_team_abbr,fld_team_abbr,against,team_summary_mode,player_play_key,challenge_team_id,challenge_team_abbr,challenge_team_name,challenge_side,challenger_name,bases,base_state,balls,strikes,inning,half,pitch_start_time,original_call,corrected_call,actual_call,wp_original_call,wp_overturned_call,wp_actual_call,wpa_if_overturned,direct_wpa,option_wpa_if_failed,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,breakeven_overturn_prob,challenge_losses_before,challenge_losses_after,challenge_loss_limit,remaining_challenge_losses_before,exhausted_after
2026,1,1,0.07540287617079315,0.07540287617079315,0,0.9245971238292069,0,643289,1.9079669025928343,"Dubon, Mauricio",R,144,120,0,0,822747,03c3a0bb-8ca2-3b65-87e9-cb67021b6fab,2026-04-21T00:00:00.000Z,656492,"Griffin, Foster",686452,"Millas, Drew",643289,0,0,2,2,0,3,3.171,1.6,17,-0.3212985044926002,1.3201694247839306,-0.3212985044926002,1.3201694247839306,1,0.028053158530065847,0.028053158530065847,0,144,144,120,144,0,0,0,0,0,0,Mauricio Dubon,Drew Millas,Foster Griffin,,Major League Baseball,ATL,WSH,,,ATL,WSH,False,batter-for,144_03c3a0bb-8ca2-3b65-87e9-cb67021b6fab,144,ATL,Atlanta Braves,batting,Mauricio Dubon,0,---,0,0,2,Top,2026-04-21T23:17:44.441Z,Strike,Ball,Ball,0.18248923819385132,0.185457813885722,0.185457813885722,0.002968575691870673,0.002968575691870673,-0.022600000000000002,0.0,0.002968575691870673,0.002968575691870673,0.8838974948137409,1,1,2,1,False
2026,0,1,0.20040089938852698,0,0.20040089938852698,0,0.799599100611473,678554,-1.2132079565733793,"Mead, Curtis",R,120,144,0,0,822748,f144875c-92d3-39e7-83bd-d73329a4a037,2026-04-22T00:00:00.000Z,527048,"Perez, Martin",641680,"Heim, Jonah",678554,2,2,4,1,4,8,3.247,1.639,17,0.542552857483053,1.6192673297144484,0.542552857483053,1.6192673297144484,1,-0.226,0,0.226,120,120,144,120,0,0,0,0,0,0,Curtis Mead,Jonah Heim,Martin Perez,,Major League Baseball,WSH,ATL,,,WSH,ATL,False,batter-for,120_f144875c-92d3-39e7-83bd-d73329a4a037,120,WSH,Washington Nationals,batting,Curtis Mead,0,---,2,2,4,Bot,2026-04-23T00:00:43.748Z,Strike,Ball,Strike,0.10707085226775816,0.1298268898335164,0.10707085226775816,0.02275603756575824,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.49827985893242976,0,1,2,2,False
2026,0,0,0.023909861059342855,0,0.023909861059342855,0,0.9760901389406571,696285,1.6212970470359949,"Young, Jacob",R,120,144,0,0,822748,1850cf58-8fb5-34c9-b39d-c99aee4a90fd,2026-04-22T00:00:00.000Z,800311,"Fuentes, Didier",641680,"Heim, Jonah",641680,0,0,1,2,3,1,3.188,1.609,17,0.9642747539196661,2.575437134227169,0.9642747539196661,2.575437134227169,0,-0.226,0,0.226,144,144,120,144,0,0,0,0,0,0,Jacob Young,Jonah Heim,Didier Fuentes,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_1850cf58-8fb5-34c9-b39d-c99aee4a90fd,144,ATL,Atlanta Braves,fielding,Jonah Heim,0,---,0,0,1,Bot,2026-04-22T23:03:59.347Z,Ball,Strike,Ball,0.2906333955997114,0.2930653765444099,0.2906333955997114,0.0024319809446984864,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.9028450464998634,0,1,2,2,False
2026,0,0,0.13505356012768302,0,0.13505356012768302,0,0.864946439872317,686894,0.09767421849605817,"Wiemer, Joey",R,120,144,0,0,822748,a9d7d6a3-caf3-330b-ac5b-af6c81a394ee,2026-04-22T00:00:00.000Z,641755,"Kinley, Tyler",641680,"Heim, Jonah",641680,1,1,8,1,6,8,3.383,1.707,17,0.5698424825793517,1.5780271484586619,0.5698424825793517,1.5780271484586619,0,-0.226,0,0.226,144,144,120,144,0,0,0,0,0,0,Joey Wiemer,Jonah Heim,Tyler Kinley,,Major League Baseball,ATL,WSH,,,WSH,ATL,False,catcher-for,144_a9d7d6a3-caf3-330b-ac5b-af6c81a394ee,144,ATL,Atlanta Braves,fielding,Jonah Heim,0,---,1,1,8,Bot,2026-04-23T00:58:52.437Z,Ball,Strike,Ball,0.8701296399677095,0.8884170785927109,0.8701296399677095,0.018287438625001373,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.5527369960069061,1,2,2,1,True
2026,0,1,0.0831096209999116,0,0.0831096209999116,0,0.9168903790000884,695578,-1.1516302593921104,"Wood, James",L,120,137,0,0,822750,34c1116b-6a99-3f35-9cd9-8073f2bb0b23,2026-04-19T00:00:00.000Z,592662,"Ray, Robbie",672275,"Bailey, Patrick",695578,1,1,3,0,0,0,3.489,1.761,17,-0.7331974783839907,2.4574774995314588,-0.7331974783839907,2.4574774995314588,0,-0.226,0,0.226,120,120,137,120,0,0,0,0,0,0,James Wood,Patrick Bailey,Robbie Ray,,Major League Baseball,WSH,SF,,,WSH,SF,False,batter-for,120_34c1116b-6a99-3f35-9cd9-8073f2bb0b23,120,WSH,Washington Nationals,batting,James Wood,1,1B--,1,1,3,Bot,2026-04-19T18:27:17.088Z,Strike,Ball,Strike,0.5770366914095406,0.6034261321901465,0.5770366914095406,0.0263894407806059,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.46132390245505644,0,1,2,2,False
2026,0,0,0.07526441038488632,0,0.07526441038488632,0,0.9247355896151137,646240,0.006032841973892644,"Devers, Rafael",L,137,120,0,0,822750,35bdcd16-2aee-3d9b-ab21-74ff91808735,2026-04-19T00:00:00.000Z,674841,"Alvarez, Andrew",660688,"Ruiz, Keibert",660688,0,0,5,2,0,0,3.217,1.624,17,-0.11383031091633,3.338336070164491,-0.11383031091633,3.338336070164491,0,-0.226,0,0.226,120,120,137,120,0,0,0,0,0,0,Rafael Devers,Keibert Ruiz,Andrew Alvarez,,Major League Baseball,WSH,SF,,,SF,WSH,False,catcher-for,120_35bdcd16-2aee-3d9b-ab21-74ff91808735,120,WSH,Washington Nationals,fielding,Keibert Ruiz,0,---,0,0,5,Top,2026-04-19T18:54:53.006Z,Ball,Strike,Ball,0.5494302040836968,0.5541226729799796,0.5494302040836968,0.004692468896282831,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.8280672622870724,1,2,2,1,True
2026,0,1,0.015907613558221994,0,0.015907613558221994,0,0.984092386441778,671218,-2.1258934546692565,"Ramos, Heliot",R,137,120,0,0,822751,06d6cb40-5598-3fc9-8db0-b0ee7e5f6702,2026-04-18T00:00:00.000Z,676917,"Cavalli, Cade",686452,"Millas, Drew",671218,0,0,4,0,3,5,3.184,1.607,17,-0.0037268828759484673,1.6633244545557715,-0.0037268828759484673,1.6633244545557715,0,-0.226,0,0.226,137,137,120,137,0,0,0,0,0,0,Heliot Ramos,Drew Millas,Cade Cavalli,,Major League Baseball,SF,WSH,,,SF,WSH,False,batter-for,137_06d6cb40-5598-3fc9-8db0-b0ee7e5f6702,137,SF,San Francisco Giants,batting,Heliot Ramos,0,---,0,0,4,Top,2026-04-18T21:17:03.935Z,Strike,Ball,Strike,0.2617119652333882,0.2721864734371821,0.2617119652333882,0.01047450820379392,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.683305700594139,0,1,2,2,False
2026,0,1,0.06734747422765638,0,0.06734747422765638,0,0.9326525257723436,669477,-0.35073348053097675,"Schmitt, Casey",R,137,120,0,0,822751,c92d090a-1cdc-3829-a46a-96da1be5fc7d,2026-04-18T00:00:00.000Z,672335,"Perez, Cionel",686452,"Millas, Drew",669477,0,0,12,1,7,6,3.196,1.613,17,0.7999388766224185,2.201240246686233,0.7999388766224185,2.201240246686233,0,-0.226,0,0.226,137,137,120,137,0,0,0,0,0,0,Casey Schmitt,Drew Millas,Cionel Perez,,Major League Baseball,SF,WSH,,,SF,WSH,False,batter-for,137_c92d090a-1cdc-3829-a46a-96da1be5fc7d,137,SF,San Francisco Giants,batting,Casey Schmitt,1,1B--,0,0,12,Top,2026-04-18T23:28:55.816Z,Strike,Ball,Strike,0.9999999999999999,1.0,0.9999999999999999,1.1102230246251565e-16,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.9999999999999951,0,1,1,1,True
2026,1,1,0.4813059654869604,0.4813059654869604,0,0.5186940345130395,0,691781,4.4378353930325645,"House, Brady",R,120,137,0,0,822752,055e8a31-e4bc-3443-b07c-1aa335c1bf27,2026-04-17T00:00:00.000Z,657424,"Gage, Matt",691740,"Susac, Daniel",691781,2,1,7,0,5,9,3.371,1.701,17,-0.5818091406268783,1.2103470505806198,-0.5818091406268783,1.2103470505806198,1,0.19421281707681437,0.19421281707681437,0,120,120,137,120,0,0,0,0,0,0,Brady House,Daniel Susac,Matt Gage,,Major League Baseball,WSH,SF,,,WSH,SF,False,batter-for,120_055e8a31-e4bc-3443-b07c-1aa335c1bf27,120,WSH,Washington Nationals,batting,Brady House,0,---,2,1,7,Bot,2026-04-18T00:50:06.091Z,Strike,Ball,Ball,0.06594891296600193,0.07754991387289978,0.07754991387289978,0.011601000906897849,0.011601000906897849,-0.022600000000000002,0.0,0.011601000906897849,0.011601000906897849,0.6607993743084257,0,0,2,2,False
2026,1,0,0.260634935048911,0.260634935048911,0,0.739365064951089,0,656305,-0.5886676068655117,"Chapman, Matt",R,137,120,0,0,822752,0887253b-c39b-3ab1-9df8-9d07b6c7d2d2,2026-04-17T00:00:00.000Z,663992,"Lovelady, Richard",660688,"Ruiz, Keibert",660688,0,0,9,0,9,5,3.251,1.641,17,0.7801110327612073,2.983919482245767,0.7801110327612073,2.983919482245767,1,0.11694916452979198,0.11694916452979198,0,120,120,137,120,0,0,0,0,0,0,Matt Chapman,Keibert Ruiz,Richard Lovelady,,Major League Baseball,WSH,SF,,,SF,WSH,False,catcher-for,120_0887253b-c39b-3ab1-9df8-9d07b6c7d2d2,120,WSH,Washington Nationals,fielding,Keibert Ruiz,1,1B--,0,0,9,Top,2026-04-18T01:17:18.234Z,Ball,Strike,Strike,0.011535564696372506,0.012027638578755469,0.012027638578755469,0.0004920738823829627,0.0004920738823829627,-0.022600000000000002,0.0,0.0004920738823829627,0.0004920738823829627,0.9786907886710701,0,0,2,2,False
2026,0,0,0.07486960428120419,0,0.07486960428120419,0,0.9251303957187959,686894,0.37411061448713134,"Wiemer, Joey",R,120,137,0,0,822752,fd376b1b-cb08-3134-a155-b53eb791327e,2026-04-17T00:00:00.000Z,657277,"Webb, Logan",691740,"Susac, Daniel",691740,0,0,2,0,0,6,3.383,1.707,17,0.05347635929240435,1.5549907821260724,0.05347635929240435,1.5549907821260724,0,-0.226,0,0.226,137,137,120,137,0,0,0,0,0,0,Joey Wiemer,Daniel Susac,Logan Webb,,Major League Baseball,SF,WSH,,,WSH,SF,False,catcher-for,137_fd376b1b-cb08-3134-a155-b53eb791327e,137,SF,San Francisco Giants,fielding,Daniel Susac,1,1B--,0,0,2,Bot,2026-04-17T23:16:58.513Z,Ball,Strike,Ball,0.8971788191043448,0.9017789282340049,0.8971788191043448,0.004600109129660024,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.8308790193549668,0,1,2,2,False
2026,0,0,0.150169100686021,0,0.150169100686021,0,0.849830899313979,671277,1.0278093908694732,"Garcia Jr., Luis",L,120,137,0,0,822752,584b1d5d-b38f-364a-89f6-d4213d7f6f65,2026-04-17T00:00:00.000Z,657277,"Webb, Logan",691740,"Susac, Daniel",691740,3,2,3,2,1,6,3.248,1.639,17,0.601058600470934,1.4325158840942107,0.601058600470934,1.4325158840942107,1,-0.226,0,0.226,137,137,120,137,0,0,0,0,0,0,Luis Garcia Jr.,Daniel Susac,Logan Webb,,Major League Baseball,SF,WSH,,,WSH,SF,False,catcher-for,137_584b1d5d-b38f-364a-89f6-d4213d7f6f65,137,SF,San Francisco Giants,fielding,Daniel Susac,3,1B2B-,3,2,3,Bot,2026-04-17T23:40:09.686Z,Ball,Strike,Ball,0.8872475808597912,0.9239432299721074,0.8872475808597912,0.036695649112316264,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.38114094943444626,1,2,2,1,True
2026,1,1,0.5816369223406437,0.5816369223406437,0,0.4183630776593563,0,691781,2.1418426700879634,"House, Brady",R,120,138,1,0,822753,c1060edf-9d95-35d1-a75a-8b84835c1760,2026-04-08T00:00:00.000Z,700241,"McGreevy, Michael",671056,"Herrera, Ivan",691781,1,2,1,0,0,0,3.371,1.701,17,-0.8505644425498166,1.4376316131862321,-0.8505644425498166,1.4376316131862321,1,0.4890654438560772,0.4890654438560772,0,120,120,138,120,1,0,0,1,0,0,Brady House,Ivan Herrera,Michael McGreevy,,Major League Baseball,WSH,STL,,,WSH,STL,False,batter-for,120_c1060edf-9d95-35d1-a75a-8b84835c1760,120,WSH,Washington Nationals,batting,Brady House,3,1B2B-,1,2,1,Bot,2026-04-08T20:18:49.587Z,Strike,Ball,Ball,0.5905152759926766,0.6267446961181867,0.6267446961181867,0.036229420125510114,0.036229420125510114,-0.022600000000000002,0.0,0.036229420125510114,0.036229420125510114,0.38416152924478675,0,0,2,2,False
2026,0,0,0.0026468412231373797,0,0.0026468412231373797,0,0.9973531587768626,691023,4.496647518388581,"Walker, Jordan",R,138,120,0,0,822753,0a603d41-6bb6-3888-83d5-ddd3ad82fa62,2026-04-08T00:00:00.000Z,676571,"Poulin, PJ",686452,"Millas, Drew",686452,2,2,9,2,4,1,3.461,1.747,17,0.015269449019682968,1.2514460401342853,0.015269449019682968,1.2514460401342853,0,-0.226,0,0.226,120,120,138,120,0,0,0,0,0,0,Jordan Walker,Drew Millas,PJ Poulin,,Major League Baseball,WSH,STL,,,STL,WSH,False,catcher-for,120_0a603d41-6bb6-3888-83d5-ddd3ad82fa62,120,WSH,Washington Nationals,fielding,Drew Millas,3,1B2B-,2,2,9,Top,2026-04-08T22:38:56.043Z,Ball,Strike,Ball,0.035849996211656875,0.04146612365790448,0.035849996211656875,0.005616127446247607,0.0,-0.022600000000000002,-0.022600000000000002,0.0,-0.022600000000000002,0.8009603742772121,0,1,2,2,False
2026,1,0,0.30423628424826143,0.30423628424826143,0,0.6957637157517386,0,683083,-1.5867924682946715,"Nunez, Nasim",L,120,138,0,0,822753,655dd593-8e03-3d2c-9211-62f962ea44e7,2026-04-08T00:00:00.000Z,700241,"McGreevy, Michael",671056,"Herrera, Ivan",671056,1,0,4,2,1,2,3.045,1.537,17,-0.4929701398526427,3.0336006276421106,-0.4929701398526427,3.0336006276421106,1,0.042664399335679545,0.042664399335679545,0,138,138,120,138,0,0,0,0,0,0,Nasim Nunez,Ivan Herrera,Michael McGreevy,,Major League Baseball,STL,WSH,,,WSH,STL,False,catcher-for,138_655dd593-8e03-3d2c-9211-62f962ea44e7,138,STL,St. Louis Cardinals,fielding,Ivan Herrera,0,---,1,0,4,Bot,2026-04-08T21:12:39.409Z,Ball,Strike,Strike,0.6227664275289873,0.6271067317787322,0.6271067317787322,0.004340304249744964,0.004340304249744964,-0.022600000000000002,0.0,0.004340304249744964,0.004340304249744964,0.8388917879505369,0,0,2,2,False
